11;la Seu;386039843
12;la Xerea;386039843
13;el Carme;386039843
14;el Pilar;386039843
15;el Mercat;386039843
16;Sant Francesc;386039843
21;Russafa;731852010
22;el Pla del Remei;731852010
23;Gran Via;731852010
31;el Botànic;581880130
32;la Roqueta;581880130
33;la Petxina;581880130
34;Arrancapins;581880130
41;Campanar;360658669
42;les Tendetes;360658669
43;el Calvari;360658669
44;Sant Pau;360658669
51;Marxalenes;460164526
52;Morvedre;460164526
53;Trinitat;460164526
54;Tormos;460164526
55;Sant Antoni;460164526
61;Exposició;495629280
62;Mestalla;495629280
63;Jaume Roig;495629280
64;Ciutat Universitària;495629280
71;Nou Moles;385228070
72;Soternes;385228070
73;Tres Forques;385228070
74;la Fontsanta;385228070
75;la Llum;385228070
81;Patraix;447143132
82;Sant Isidre;447143132
83;Vara de Quart;447143132
84;Safranar;447143132
85;Favara;447143132
91;la Raiosa;440762521
92;l'Hort de Senabre;440762521
93;la Creu Coberta;440762521
94;Sant Marcel·lí;440762521
95;Camí Real;440762521
101;Mont-Olivet;651938466
102;en Corts;651938466
103;Malilla;651938466
104;Fonteta de Sant Lluís;651938466
105;na Rovella;651938466
106;la Punta;651938466
107;Ciutat de les Arts i de les Ciències;651938466
111;el Grau;416981939
112;el Cabanyal- el Canyamelar;416981939
113;la Malva-rosa;416981939
114;Beteró;416981939
115;Natzaret;416981939
121;Aiora;779853468
122;Albors;779853468
123;la Creu del Grau;779853468
124;Camí Fondo;779853468
125;Penya-roja;779853468
131;l'Illa Perduda;419821123
132;Ciutat Jardí;419821123
133;l'Amistat;419821123
134;la Bega Baixa;419821123
135;la Carrasca;419821123
141;Benimaclet;267976327
142;Camí de Vera;267976327
151;Orriols;380458926
152;Torrefiel;380458926
153;Sant Llorenç;380458926
161;Benicalap;380460827
162;Ciutat Fallera;380460827
171;Benifaraig;67808775
172;Poble Nou;67808775
173;Carpesa;67808775
174;Cases de Bàrcena;67808775
175;Mauella;67808775
176;Massarrojos;67808775
177;Borbotó;67808775
181;Benimàmet;86032276
182;Beniferri;86032276
191;el Forn d'Alcedo;178240659
192;el Castellar-l'Oliverar;178240659
193;Pinedo;178240659
194;el Saler;178240659
195;el Palmar;178240659
196;el Perellonet;178240659
197;la Torre;178240659
198;Faitanar;178240659
